Symbol,Date,Open,High,Low,Close,Volume
,2022-02-08,208.35,210.99,207.68,209.75,72395000
AAPL,2022-01-12,192.70,193.35,191.24,192.89,50569000
AAPL,2022-01-13,192.62,194.75,191.99,194.20,48905000
AAPL,2022-01-14,194.70,195.60,193.33,195.40,51831000
AMZN,2022-02-09,3615.00,3645.00,3604.01,3634.00,2457100
AMZN,2022-02-10,3636.00,3643.00,3605.00,3638.50,1994600
AMZN,2022-02-11,3638.00,3658.74,3617.45,3656.00,2225400
GOOGL,2022-01-24,3017.50,3027.84,2998.01,3023.75,988700
GOOGL,2022-01-25,3025.00,3035.18,3006.82,3024.25,923600
GOOGL,2022-01-26,3021.50,3032.75,3002.89,3016.00,877800
