Symbol,Date,Open,High,Low,Close,Volume
GOOGL,2022-01-24,3017.5,3027.84,2998.01,3023.75,988700
GOOGL,2022-01-25,3025.0,3035.18,3006.82,3024.25,923600
GOOGL,2022-01-26,3021.5,3032.75,3002.89,3016.0,877800
GOOGL,2022-01-27,3021.0,3036.43,3008.75,3033.5,879300
GOOGL,2022-01-28,3035.0,3055.63,3022.78,3051.75,974100
GOOGL,2022-01-07,2900.0,2925.55,2895.26,2918.0,1077200
GOOGL,2022-01-11,2925.0,2935.18,2906.82,2924.25,823600
GOOGL,2022-01-12,2921.5,2932.75,2902.89,2916.0,777800
GOOGL,2022-01-14,2935.0,2955.63,2922.78,2951.75,874100
GOOGL,2022-01-07,2900.0,2925.55,2895.26,2918.0,1077200
GOOGL,2022-01-17,195.8,196.84,194.4,196.05,63818000
GOOGL,2022-01-18,196.15,196.75,194.81,195.45,62109000
GOOGL,2022-01-19,195.7,196.35,194.24,195.89,52569000
GOOGL,2022-01-19,2988.5,3000.37,2973.07,2995.25,1676100
GOOGL,2022-01-20,3002.0,3012.34,2973.27,3000.75,1237800
GOOGL,2022-01-21,3000.0,3025.55,2995.26,3018.0,1177200
GOOGL,2022-01-17,2950.0,2970.05,2938.79,2972.5,2118700
GOOGL,2022-01-18,2972.75,2991.4,2957.47,2979.5,1729800
GOOGL,2022-01-03,2855.0,2885.05,2838.79,2882.5,2018700
GOOGL,2022-01-04,2883.75,2901.4,2857.47,2889.5,1629800
GOOGL,2022-01-05,2898.5,2920.37,2873.07,2905.25,1576100
